Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Item condition (product.metafields.shopify.item-condition),Manufacturer type (product.metafields.shopify.manufacturer-type),Vehicle suspension features (product.metafields.shopify.vehicle-suspension-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
super-duty-traction-bars,Super-Duty Traction Bar Kit,"<p><strong>Super Duty Traction Bar Kit</strong></p>
<p>Enhance your vehicle's performance with our <strong>Super Duty Traction Bar Kit</strong>, engineered from premium materials for unbeatable strength and durability. Whether you're off-roading, towing, or pushing your rig to the limit, this kit provides superior traction and control.</p>
<p><strong>Kit Includes:</strong></p>
<ul>
<li>1 Pair of Traction Bars (Precisely CNC laser-cut from 3/16"" steel, featuring overlays on both the inside and outside of the bars in your choice of milled aluminum or sleek mirrored stainless steel)</li>
<li>1 Pair of Traction Bar Brackets frame side (Available in milled aluminum or mirrored stainless steel overlay to suit your vehicle's performance needs and style)</li>
<li>1 Pair of Traction Bar Brackets (Mounted on the bottom of the lower U-bolt brackets for added stability and secure fit)</li>
<li>All necessary hardware for installation, including Grade 8 SAE bolts for maximum strength and durability</li>
<li>2-Piece PTFE Heim Joints for smooth, long-lasting articulation</li>
</ul>
<p><strong>Features:</strong></p>
<ul>
<li>
<strong>Heavy-Duty Construction:</strong> Traction bars are CNC laser-cut from 3/16"" steel, with overlays on both the inside and outside of the bars for a sleek look and added protection.</li>
<li>
<strong>High-Quality Materials:</strong> Choose between precision-milled aluminum or the durable mirrored stainless steel overlay for a premium finish that complements your vehicle.</li>
<li>
<strong>Premium Hardware:</strong> All bolts are Grade 8 SAE for exceptional strength, while overlay bolts are stainless steel for corrosion resistance and a polished appearance.</li>
<li>
<strong>Enhanced Traction &amp; Stability:</strong> Reduces axle wrap and improves rear-end control, ensuring your vehicle maintains power and stability in tough conditions.</li>
<li>
<strong>Smooth Operation:</strong> PTFE Heim joints deliver smooth articulation, reducing friction and ensuring consistent performance over time.</li>
<li>
<strong>Complete Kit:</strong> Includes all the hardware you need for easy installation—no extra parts required.</li>
</ul>
<p>Upgrade your ride with the <strong>Super Duty Traction Bar Kit</strong>, designed for high-performance durability, ultimate traction, and a custom look that stands out.</p>",Papis,Vehicles & Parts > Vehicle Parts & Accessories,"","Ford, Super-Duty",true,Bed Length,Short Bed,,Overlay Finish,Mirrored Stainless,,,,,"",0.0,shopify,50,continue,manual,1599.99,,true,true,"",https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC4987.jpg?v=1725947161,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
super-duty-traction-bars,,,,,,,,,Short Bed,,,Machined Aluminum,,,,,"",0.0,shopify,50,continue,manual,1699.99,,true,true,"",https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC6292.jpg?v=1735640063,2,"",,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
super-duty-traction-bars,,,,,,,,,Long Bed,,,Mirrored Stainless,,,,,"",0.0,shopify,50,continue,manual,1599.99,,true,true,"",https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC4977.jpg?v=1735179474,3,"",,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
super-duty-traction-bars,,,,,,,,,Long Bed,,,Machined Aluminum,,,,,"",0.0,shopify,50,continue,manual,1699.99,,true,true,"",https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC9505.jpg?v=1735179474,4,"",,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
super-duty-traction-bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC8520.jpg?v=1735179837,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-duty-traction-bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC8522.jpg?v=1735179837,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-duty-traction-bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC6231.jpg?v=1735179837,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-duty-traction-bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC6227.jpg?v=1735179837,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-duty-traction-bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC4963.jpg?v=1735179474,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-duty-traction-bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0897/6030/1367/files/DSC5005.jpg?v=1735625797,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
